STAGE,INDEX,NAME,CONTENT
1,1,할아버지,"할멈, 몸은 좀 어떠슈?"
1,2,할머니,콜록 콜록.\n 영감은 이게 괜찮아 보이슈?
1,3,할아버지,괜찮아 질거여. 의사선생님도 그랬잖어.\n3개월만 더 치료 받으면 괜찮아 질 거라고.
1,4,할머니,아 참. 그랬었지?
1,5,할아버지,에휴… 이 할망구가… 치매란 것도 정말 무서운 거여.
1,6,할머니,무슨 말을 하는겨?
1,7,할아버지,아무것도 아니여.
1,8,할머니,그나저나 영감. 내가 저번에 부탁했던거 가져왔슈?
1,9,할아버지,당연히 가져왔지.
1,10,할머니,그건 또 안 잊었구먼. 다행이네.
1,11,할아버지,누가 할소리. 껄껄.
1,12,할아버지,자. 여기 있네.
2,1,할머니,이걸 보니까 옛생각 나는구려.
2,2,할아버지,그러게 말이여.
2,3,할머니,우리 처음 만났을 때 기억혀?\n내가 개울가에서 물장난 치고 있었을 때 몰래 다가와서 돌던지고 그랬었잖슈.
2,4,할아버지,무슨 소리여?\n내가 할멈 처음 본 건 국민학교 입학식 때 였지.\n그 때 한눈에 뿅 가버렸잖어. 껄껄껄
2,5,할아버지,할멈. 자 보소. 여기 이 사진에 할멈이랑 처음 만났을 때잖슈.
2,6,할머니,에잇. 안 봐. 안 본당께.
2,7,할아버지,본인이 기억 못하니까 그러는 것 보슈.\n그럼 내 말이 맞는 거쥬?
2,8,할아버지,에휴- 이런 할멈 보살피기도 힘들구먼. 껄껄.
2,9,할아버지,그래도 뭐 어뗘. 늦둥이 딸 하나 키우는 느낌이지.
2,10,할머니,이 영감이 정말… 됐다… 말을 말자.
2,11,할아버지,우리 할멈 삐졌쮸?
2,12,할머니,에잇. 됐슈다.
2,13,할머니,"됐고, 우리 결혼식 때 찍은 사진이나 쥬슈."
2,14,할아버지,결혼식 때 찍은 사진?
2,15,할머니,그 결혼식 때 영감 혼자 찍은거. 그것좀 주슈.
2,16,할아버지,알겠슈다.
2,17,할아버지,어디보자…
3,1,할머니,그나저나 요즘 계속 이러고 있으니 우리 딸내미가 보고 싶구려.
3,2,할아버지,그러게 말이여…
3,3,할머니,영감.
3,4,할아버지,왜 부르는교?
3,5,할머니,혹시 그 사진 있슈?
3,6,할아버지,어떤거?
3,7,할머니,우리 아들내미 돌잔치 때 찍은 사진이었는데 말이여…
3,8,할머니,그 왜 있잖슈.\n돌잡이 직전에 울던거.
3,9,할아버지,우리 딸 돌잔치?\n허허… 그 때도 그립구먼…\m특히 돌잡이 때가…
3,10,할머니,이 망할 영감탱이가 또 딴길로 새는구먼.\n그래… 돌잡이 때 그런 일이 있었었지.
3,11,할머니,쌀을 잡았는데 그 쌀을 막 뿌리고 난리 났었지.
3,12,할아버지,무슨 소리여. 실잡은 다음 그걸로 장난치다가 온 몸에 실이 칭칭 감겼었었지.
3,13,할머니,에구 이 망할 영감탱이야. 실은 우리 손주 돌잔치였고.
3,14,할아버지,그리고 그걸 보고 옆집에 살았던 김씨가 힘이 장군감이라며 재밌어 했었지.
3,15,할머니,옆집에 살던건 김씨가 아니고 이씨였어 이 영감아.
3,16,할머니,아 됐슈다. 어서 아까 말한 시진이나 주쇼.
3,17,할아버지,음? 그 사진이 뭐였더라?
3,18,할머니,에휴. 이영감아…\n돌접이 전에 딸내미가 울던 거 있잖슈.
3,19,할머니,그 때가… 얼마나 귀여웠었는데…
